Country,Region,Year,Crop_Type,Crop_Yield_Tonnes_per_Ha,Avg_Temperature_C,Annual_Rainfall_mm,Severe_Drought,Fertilizer_Usage_kg_ha,Pesticide_Usage_kg_ha,Food_Insecurity_Index
Egypt,Middle East & North Africa,2010,Cassava,15.83,23.89,653.2,No,76.8,5.46,51.8
Egypt,Middle East & North Africa,2012,Wheat,5.76,21.75,480.6,No,69.0,6.23,39.8
Sudan,Sub-Saharan Africa,2021,Rice,5.93,26.33,778.3,No,95.6,7.07,63.2
India,South Asia,2003,Soybeans,4.03,20.98,1301.6,No,35.4,3.46,40.3
Mexico,North America,2009,Wheat,4.9,13.12,897.4,No,74.0,1.09,31.5
Uganda,Sub-Saharan Africa,2022,Soybeans,3.77,26.71,523.1,No,45.4,0.26,48.5
France,Europe,2017,Rice,6.13,14.97,1198.6,No,105.9,4.68,30.1
Turkey,Middle East & North Africa,2014,Soybeans,4.29,23.76,987.5,No,89.1,2.23,44.3
Nigeria,Sub-Saharan Africa,2011,Cassava,17.83,24.6,1395.6,No,230.1,6.14,59.0
Vietnam,Southeast Asia,2001,Potatoes,23.1,24.58,1404.8,No,66.4,4.45,28.2
South Africa,Sub-Saharan Africa,2005,Soybeans,6.06,24.91,1088.5,No,172.3,4.25,60.2
Ethiopia,Sub-Saharan Africa,2019,Soybeans,4.15,28.5,1305.9,No,79.0,3.08,51.6
Indonesia,Southeast Asia,2004,Rice,7.93,23.36,1250.9,No,206.7,4.62,17.1
China,East Asia,2016,Potatoes,24.45,21.39,616.2,No,146.0,3.44,22.2
Sudan,Sub-Saharan Africa,2023,Cassava,15.34,26.93,568.1,No,67.4,5.37,62.4
Ethiopia,Sub-Saharan Africa,2013,Maize (Corn),6.44,26.51,808.2,No,50.9,2.52,56.2
Kenya,Sub-Saharan Africa,2022,Wheat,5.3,30.26,822.5,No,93.2,1.49,48.9
Bangladesh,South Asia,2010,Potatoes,23.87,21.54,800.8,No,127.0,0.26,43.6
Argentina,South America,2008,Rice,7.4,21.62,997.1,No,179.9,3.14,24.3
Germany,Europe,2023,Wheat,4.45,14.77,1278.1,No,84.8,0.43,18.1
Tanzania,Sub-Saharan Africa,2022,Potatoes,23.04,27.14,648.4,No,68.0,2.11,58.5
Argentina,South America,2018,Rice,5.79,23.77,616.9,No,64.5,2.49,19.9
Egypt,Middle East & North Africa,2015,Cassava,8.76,19.73,318.0,Yes,88.5,2.54,75.0
Canada,North America,2001,Cassava,15.53,12.34,473.0,No,84.7,1.49,31.9
Sudan,Sub-Saharan Africa,2002,Maize (Corn),6.51,26.76,899.3,No,65.9,2.94,60.3
Ethiopia,Sub-Saharan Africa,2013,Rice,4.99,26.97,1144.8,No,57.6,1.32,57.2
Uganda,Sub-Saharan Africa,2013,Rice,6.12,30.21,1276.7,No,112.2,1.98,56.0
Turkey,Middle East & North Africa,2016,Wheat,6.11,20.61,1034.3,No,90.3,7.77,32.1
South Africa,Sub-Saharan Africa,2010,Cassava,16.12,26.36,729.0,No,101.4,1.61,52.6
Indonesia,Southeast Asia,2012,Rice,5.85,22.21,1464.2,No,76.6,1.21,30.5
Nigeria,Sub-Saharan Africa,2023,Cassava,16.58,24.8,986.5,No,143.8,3.79,54.9
Germany,Europe,2009,Maize (Corn),7.12,14.38,1389.3,No,82.1,1.41,17.2
South Africa,Sub-Saharan Africa,2024,Maize (Corn),7.3,24.55,1157.1,No,126.7,1.63,59.2
South Africa,Sub-Saharan Africa,2021,Potatoes,23.53,27.51,1034.4,No,61.3,3.65,54.6
India,South Asia,2010,Soybeans,4.02,21.34,932.0,No,66.3,5.62,31.0
Argentina,South America,2009,Maize (Corn),6.46,24.51,1052.1,No,62.3,1.62,33.6
South Africa,Sub-Saharan Africa,2005,Potatoes,23.63,23.29,1205.6,No,94.7,1.1,52.1
South Africa,Sub-Saharan Africa,2012,Cassava,16.34,24.74,856.1,No,136.4,1.65,50.3
Uganda,Sub-Saharan Africa,2005,Cassava,15.72,26.17,1166.7,No,91.3,3.46,52.9
Uganda,Sub-Saharan Africa,2012,Maize (Corn),8.0,27.85,1226.6,No,101.7,5.8,46.5
United States,North America,2005,Rice,5.58,15.23,945.6,No,85.9,0.63,32.9
Bangladesh,South Asia,2012,Soybeans,5.03,20.71,697.4,No,128.9,2.18,36.7
Australia,Oceania,2025,Soybeans,5.73,22.52,731.5,No,169.6,1.91,21.4
